BMI,GDP_per_capita,Schooling,Life_expectancy
27.8,11006,7.8,76.5
26,25742,9.7,82.8
21.2,1076,5,65.4
25.3,4146,7.9,67
27,33995,12.8,81.7
26.4,9110,7.9,78.2
26.2,9313,12,71.2
25.9,8971,10.2,71.2
27.9,3708,9.6,71.9
26.5,2235,10.9,68.7
26.1,9057,7.3,74.2
27.1,19338,9.9,79.8
27.6,32027,11,72.3
25.8,1660,10.5,68.3
25,79368,12.3,81.5
25.7,68489,12.1,78.8
26,43045,12.3,81
23.5,1166,3.5,60.7
22.6,33099,11.2,81.9
24.9,7181,7.8,62.9
23.7,1580,6.8,61.4
22.3,1847,7.7,68.8
22.3,2072,5.7,53.8
21.1,464,6.1,63.8
25.8,13283,12,71.9
28.7,4667,10.5,73.5
25.8,7838,11.7,66.2
24.3,1383,6.1,57.6
28.3,4516,9.8,72.8
23.6,941,7.2,48.4
22.8,1489,2.3,65.3
25.1,82027,13.3,82.2
26.6,5827,9,53.8
28.7,4387,9.9,73.7
20.6,699,3.9,63.2
26.3,37761,13.8,80
28.3,20328,9.5,74.5
29.1,1488,7.2,64.2
26.3,13664,8.4,72.7
21.1,465,6.1,64.3
23.6,54683,11.4,82.5
22.9,456,4.3,56.2
25.3,50457,12.7,78.6
23.9,661,3.4,60.9
27.2,11355,8.6,79.4
28.4,4768,10.5,72.1
25.8,48370,12.3,81.5
25.5,44245,12.1,81.5
26.1,994,10.7,70
26.7,8067,8.5,72.6
26.4,33437,8.8,74.7
27,22839,10.1,80.2
26.4,72427,12.7,81
26.3,10575,8,76
26.2,11960,9.9,75.8
25.8,8280,10.6,72.6
22.5,550,3.7,48
25.5,4178,7.9,76.1
23.4,2311,2.8,65.8
26,2884,11.1,73.1
23.4,1212,6.8,43.1
25.8,6075,7.8,71.1
22.6,1287,6,57.5
28.9,3035,5.5,65.1
25.5,14400,9.1,74.8
21.4,643,3,66.3
26.2,9766,11.8,71.3
25.6,2519,6.5,68
21.7,148,2.2,55.8
29.1,33167,7,74.6
22.9,1357,6.2,61.9
26,35034,12.9,78.7
27.5,13568,9.8,75.9
26.3,9894,9.2,76.4
26.3,18445,9.5,76.9
25,36379,11.4,82.7
25.4,4185,7.2,76.2
23.9,1234,3.1,60.9
22.7,265,2.1,53.3
26.5,5153,10.7,71.2
24.1,8535,3.9,74.6
26.1,3313,11.3,73.8
23.5,1348,6.7,60.6
22.5,237,2.1,52.7
25.1,84348,13.4,83.2
26.6,11192,9.1,74.5
23,586,2.6,54.6
24.9,1939,4.6,67.4
20.7,351,3.3,50
23.8,4147,6.2,56.7
25.9,6857,11.4,65.5
22.5,31830,11,81.8
24.1,1307,3.3,61.2
26.1,3175,5.3,43.3
23,2464,5.5,51.3
27.3,56815,8.6,74.8
21,296,2.3,53.4
24.7,662,10.5,66.8
24.8,1790,4.3,70.7
25.5,4992,7.3,75
23.3,733,2.7,59.3
21.3,467,6.1,65.5
25.7,43764,9.8,81
24.8,1905,3.6,69.8
23.5,1246,4.8,65.6
25.7,2455,7.9,67.5
21.2,760,3.6,63.9
24.6,7531,8.2,73.7
25.5,6846,10.3,72.2
25.7,5410,7.2,71.6
26.6,74356,12.5,82.3
25.6,33258,9.2,80.8
21.7,2582,8,75.1
25.8,3045,9.2,75.6
26.1,19654,8.9,76.4
26.5,12735,10.9,75.2
31.4,3952,9.1,69.8
22.1,2080,5.6,52.5
26.1,20613,12.1,79.4
23.8,7867,6.3,58
22.4,1341,6.9,60.8
26.8,3680,6.5,55.4
22,506,4,53.5
26.3,6547,7.8,73
27.8,2652,4.9,68.8
25.4,2565,4.3,63.2
26.3,41623,10.8,76.5
23.3,2235,2.3,68.4
22.9,1188,3,59.5
27.8,13367,10.1,79.5
27.4,1550,6.2,74.4
21.5,855,3.7,66
25.5,4162,10,72.7
25.6,36393,10.3,78.1
27.8,4830,10.3,69.7
25.8,7678,8,77.5
25.6,7450,10.5,72.6
25.1,6501,10.6,78.2
26.5,2256,6.2,74.3
26.7,18076,10.5,71.2
23.9,4860,8.1,51.2
26,6465,7.9,71.3
25.1,2083,7.1,64.2
25.1,3725,6.5,71
27.8,31689,11.1,72.8
26.2,8395,7.9,78
26.9,16860,8.2,78.8
21.7,294,3,45.1
25.9,44074,12,79.2
25.8,5798,10.8,74.3
28.1,2759,5.4,69.3
28,32535,9.9,76.3
25.9,50732,10.2,81.2
25.4,9179,10.1,75.1
25.3,13171,9,74.4
21.7,477,3,44.1
21,1287,4.5,68
25.8,5206,10.4,74.3
26,9357,10.3,72.2
24.5,7275,7.6,73.6
24.3,6403,9.2,67.3
21.3,676,1.5,48.5
21.9,271,3.2,45.5
22.6,627,3.2,51
22.1,688,1.7,52.1
20.8,856,4.7,68.6
26.6,13786,12.8,74.5
21.9,2031,4.4,47.7
25.9,5083,7.8,74.1
21.8,918,6.3,48.5
24.9,742,10,68.2
23.3,1697,6.5,44.6
22.6,2797,6.7,72.4
22.4,902,4.7,69.5
21.2,598,1.4,48.3
23.2,565,3.5,63
24.6,4222,9.7,76.9
23.1,920,5.6,62.3
26.9,6084,8.3,75.7
23.9,1452,4,60.7
25.6,17803,11.5,76.9
25.8,7578,7.7,73.1
21.9,497,6.4,59.3
24.7,4269,9.5,77.1
25,8955,5.7,77
23,1583,3.6,49.8
22.4,1499,5.2,46.5
26.5,1709,5.8,71.9
26,8195,7.9,73.1
27.7,3627,6.1,68.1
21.8,682,3.8,62.3
26.2,9169,9.2,76.2
25,20774,8.6,76.2
23.6,781,3.3,57.1
22.6,32515,11.1,82
23.3,3647,5.9,50.6
23.4,1983,3.7,69.1
21.4,573,4.3,49.4
25.9,8438,11.6,66.3
29.1,10531,8.4,75.1
23.3,1974,3.5,68.6
26.2,38278,13.7,79.7
26.6,5967,12.2,73.6
26.1,2121,5.4,73.3
22.5,1134,2.4,60.6
23.8,1249,5.2,53.7
22.9,2611,9.1,70.1
24.4,8222,4.7,75.5
26.4,1616,5.6,71.4
24.6,1784,8.4,64.2
27.1,4284,5.2,69
24.7,1343,4.8,60.9
27,15168,8.5,77.1
26.1,4327,10.2,69.8
22.7,1040,3.8,63.3
23.4,34891,8.9,78
23.2,3128,5,59.4
25.9,2078,10.6,68.2
26.1,2195,5.3,71.9
26.5,2125,11.3,71.2
22.5,1130,2.4,61.4
23.5,2479,2.5,69.3
26.6,5195,10.7,71.5
25.4,3808,9.9,72.4
21.5,424,1.4,56.6
24.6,1297,4.7,60.5
25.8,12396,10.9,74.2
27.3,35697,10.9,72
25.9,42531,12,78.8
25.1,50792,12.8,77.5
25.9,3955,6.7,75
23.5,4827,7.1,72.9
25,35131,10.8,81.4
31.8,3961,10.3,72.4
21.2,616,2.8,65.3
26.7,12695,9.7,77.4
27.2,46221,10.9,80.7
22.4,2404,1.3,61.2
26.2,37842,13.7,79.5
25.2,783,10.9,68.7
26.3,1573,5.5,71.2
27.3,11643,8.8,79.6
21.1,421,1.4,47.9
27.7,6670,7.3,72
26,71655,12.7,79.8
25.1,36246,10.9,82.1
25.7,2141,5,72.5
27.6,3620,5.9,68.2
28.4,10528,7.8,74.6
25.9,4350,7,72.5
25.7,46043,12.2,81.4
25.4,4260,10,71.9
25.6,18568,12,77.2
26.1,6169,11.1,76
20.9,482,5.7,61.7
23.7,1249,7.3,52.9
26.2,7810,10.8,74.4
22.9,1141,2.8,65.9
25.3,42202,11.6,79.3
25,5225,9.6,71
25.8,14631,12.1,72.6
23,776,3.5,51.7
20.4,518,2.4,63.3
26.2,33981,8.7,74.5
22.9,1001,2.8,58.7
26.4,39977,13.9,80.4
26.4,12410,12.6,73.8
21.1,364,4.3,53.7
27.2,35808,13,82.1
25.6,10714,7.6,71.1
22.8,2536,1.9,63.5
28,38631,12.4,81.5
23.1,1183,3,59.7
27.8,36521,12.1,81.2
26.6,11871,10.6,76.2
27,7195,5.9,72
21.9,754,3.3,68
25.6,1615,10.6,67.1
24.8,33597,9.8,79.1
26.5,40851,14,81.1
25.9,10510,9.8,74.6
25.4,837,10.2,67.7
25.8,2776,6.5,68.5
32.1,4276,11.1,70.4
25.9,49049,12.2,82
23.8,1252,3,60.8
26.7,1679,6,72.4
22.7,765,5,56.8
26.1,13186,12.3,71
22.4,2080,5.8,54.7
25.9,11562,7.8,72.2
21.5,512,3.1,58.9
24.8,2913,7.1,74.6
25.7,31615,9.6,81.6
24.6,1486,5.2,68.7
21.4,1244,5.4,66.7
22.4,550,2.3,51.5
26.2,3732,4.6,72.2
26.6,26394,10.9,78.8
26.3,36190,13.8,79.8
21.9,776,2.3,53.1
26.5,11433,8.2,73.1
